用例编号,所属产品,所属模块,相关需求,用例标题,前置条件,步骤,预期,实际情况,关键词,优先级,用例类型,适用阶段,用例状态,B,R,S,结果,由谁创建,创建日期,最后修改者,修改日期,用例版本,相关用例
2076,WoniuBossERP(#1),/市场营销(#3),查询功能,选择区域、状态，开始时间、结束时间为空，点击“查询”,成功登录，进入市场营销,"1.下拉框“区域”选择【重庆】
2.下拉框“状态”选择【已上门】
3.开始时间为空
4.结束时间为空
5.点击“查询”
","1.下拉框“区域”选择成功
2.下拉框“状态”选择成功
3.开始时间为空
4.结束时间为空
5.显示内容列表，包括（
姓名、区域、来源、状态、电话号码、qq号码年龄、咨询师、入库时间）
",,,2,功能测试,系统测试阶段,正常,0,0,1,,,2019/11/26,,,1,
2077,WoniuBossERP(#1),/市场营销(#3),查询功能,选择区域、状态，开始时间、结束时间为空，点击“查询”,成功登录，进入市场营销,"1.下拉框“区域”选择【重庆】
2.下拉框“状态”选择【再投递】
3.开始时间为空
4.结束时间为空
5.点击“查询”
","1.下拉框“区域”选择成功
2.下拉框“状态”选择成功
3.开始时间为空
4.结束时间为空
5.显示内容列表，包括（
姓名、区域、来源、状态、电话号码、qq号码年龄、咨询师、入库时间）
",,,2,功能测试,系统测试阶段,正常,0,0,1,,,2019/11/26,,,1,
2078,WoniuBossERP(#1),/市场营销(#3),查询功能,选择区域、状态，开始时间、结束时间为空，点击“查询”,成功登录，进入市场营销,"1.下拉框“区域”选择【重庆】
2.下拉框“状态”选择【已报名】
3.开始时间为空
4.结束时间为空
5.点击“查询”
","1.下拉框“区域”选择成功
2.下拉框“状态”选择成功
3.开始时间为空
4.结束时间为空
5.显示内容列表，包括（
姓名、区域、来源、状态、电话号码、qq号码年龄、咨询师、入库时间）
",,,2,功能测试,系统测试阶段,正常,0,0,1,,,2019/11/26,,,1,
2079,WoniuBossERP(#1),/市场营销(#3),查询功能,选择区域、状态，开始时间、结束时间为空，点击“查询”,成功登录，进入市场营销,"1.下拉框“区域”选择【重庆】
2.下拉框“状态”选择【可跟进】
3.开始时间为空
4.结束时间为空
5.点击“查询”
","1.下拉框“区域”选择成功
2.下拉框“状态”选择成功
3.开始时间为空
4.结束时间为空
5.显示内容列表，包括（
姓名、区域、来源、状态、电话号码、qq号码年龄、咨询师、入库时间）
",,,2,功能测试,系统测试阶段,正常,0,0,1,,,2019/11/26,,,1,
2080,WoniuBossERP(#1),/市场营销(#3),查询功能,选择区域、状态，开始时间、结束时间为空，点击“查询”,成功登录，进入市场营销,"1.下拉框“区域”选择【重庆】
2.下拉框“状态”选择【无意向】
3.开始时间为空
4.结束时间为空
5.点击“查询”
","1.下拉框“区域”选择成功
2.下拉框“状态”选择成功
3.开始时间为空
4.结束时间为空
5.显示内容列表，包括（
姓名、区域、来源、状态、电话号码、qq号码年龄、咨询师、入库时间）
",,,2,功能测试,系统测试阶段,正常,0,0,1,,,2019/11/26,,,1,
2081,WoniuBossERP(#1),/市场营销(#3),查询功能,选择区域、状态，开始时间、结束时间为空，点击“查询”,成功登录，进入市场营销,"1.下拉框“区域”选择【重庆】
2.下拉框“状态”选择【未联系上】
3.开始时间为空
4.结束时间为空
5.点击“查询”
","1.下拉框“区域”选择成功
2.下拉框“状态”选择成功
3.开始时间为空
4.结束时间为空
5.显示内容列表，包括（
姓名、区域、来源、状态、电话号码、qq号码年龄、咨询师、入库时间）
",,,2,功能测试,系统测试阶段,正常,0,0,1,,,2019/11/26,,,1,
2082,WoniuBossERP(#1),/市场营销(#3),查询功能,选择区域、状态，开始时间、结束时间为空，点击“查询”,成功登录，进入市场营销,"1.下拉框“区域”选择【重庆】
2.下拉框“状态”选择【培训过】
3.开始时间为空
4.结束时间为空
5.点击“查询”
","1.下拉框“区域”选择成功
2.下拉框“状态”选择成功
3.开始时间为空
4.结束时间为空
5.显示内容列表，包括（
姓名、区域、来源、状态、电话号码、qq号码年龄、咨询师、入库时间）
",,,2,功能测试,系统测试阶段,正常,0,0,1,,,2019/11/26,,,1,
2083,WoniuBossERP(#1),/市场营销(#3),查询功能,选择区域、状态，开始时间、结束时间为空，点击“查询”,成功登录，进入市场营销,"1.下拉框“区域”选择【重庆】
2.下拉框“状态”选择【条件不符】
3.开始时间为空
4.结束时间为空
5.点击“查询”
","1.下拉框“区域”选择成功
2.下拉框“状态”选择成功
3.开始时间为空
4.结束时间为空
5.显示内容列表，包括（
姓名、区域、来源、状态、电话号码、qq号码年龄、咨询师、入库时间）
",,,2,功能测试,系统测试阶段,正常,0,0,1,,,2019/11/26,,,1,
2084,WoniuBossERP(#1),/市场营销(#3),查询功能,选择区域、状态，开始时间、结束时间为空，点击“查询”,成功登录，进入市场营销,"1.下拉框“区域”选择【西安】
2.下拉框“状态”选择【新入库】
3.开始时间为空
4.结束时间为空
5.点击“查询”
","1.下拉框“区域”选择成功
2.下拉框“状态”选择成功
3.开始时间为空
4.结束时间为空
5.显示内容列表，包括（
姓名、区域、来源、状态、电话号码、qq号码年龄、咨询师、入库时间）
",,,2,功能测试,系统测试阶段,正常,0,0,1,,,2019/11/26,,,1,
2085,WoniuBossERP(#1),/市场营销(#3),查询功能,选择区域、状态，开始时间、结束时间为空，点击“查询”,成功登录，进入市场营销,"1.下拉框“区域”选择【西安】
2.下拉框“状态”选择【新认领】
3.开始时间为空
4.结束时间为空
5.点击“查询”
","1.下拉框“区域”选择成功
2.下拉框“状态”选择成功
3.开始时间为空
4.结束时间为空
5.显示内容列表，包括（
姓名、区域、来源、状态、电话号码、qq号码年龄、咨询师、入库时间）
",,,2,功能测试,系统测试阶段,正常,0,0,1,,,2019/11/26,,,1,
2086,WoniuBossERP(#1),/市场营销(#3),查询功能,选择区域、状态，开始时间、结束时间为空，点击“查询”,成功登录，进入市场营销,"1.下拉框“区域”选择【西安】
2.下拉框“状态”选择【已预约】
3.开始时间为空
4.结束时间为空
5.点击“查询”
","1.下拉框“区域”选择成功
2.下拉框“状态”选择成功
3.开始时间为空
4.结束时间为空
5.显示内容列表，包括（
姓名、区域、来源、状态、电话号码、qq号码年龄、咨询师、入库时间）
",,,2,功能测试,系统测试阶段,正常,0,0,1,,,2019/11/26,,,1,
2087,WoniuBossERP(#1),/市场营销(#3),查询功能,选择区域、状态，开始时间、结束时间为空，点击“查询”,成功登录，进入市场营销,"1.下拉框“区域”选择【西安】
2.下拉框“状态”选择【新入库】
3.开始时间为空
4.结束时间为空
5.点击“查询”
","1.下拉框“区域”选择成功
2.下拉框“状态”选择成功
3.开始时间为空
4.结束时间为空
5.显示内容列表，包括（
姓名、区域、来源、状态、电话号码、qq号码年龄、咨询师、入库时间）
",,,2,功能测试,系统测试阶段,正常,0,0,1,,,2019/11/26,,,1,
2088,WoniuBossERP(#1),/市场营销(#3),查询功能,选择区域、状态，开始时间、结束时间为空，点击“查询”,成功登录，进入市场营销,"1.下拉框“区域”选择【西安】
2.下拉框“状态”选择【已上门】
3.开始时间为空
4.结束时间为空
5.点击“查询”
","1.下拉框“区域”选择成功
2.下拉框“状态”选择成功
3.开始时间为空
4.结束时间为空
5.显示内容列表，包括（
姓名、区域、来源、状态、电话号码、qq号码年龄、咨询师、入库时间）
",,,2,功能测试,系统测试阶段,正常,0,0,1,,,2019/11/26,,,1,
2089,WoniuBossERP(#1),/市场营销(#3),查询功能,选择区域、状态，开始时间、结束时间为空，点击“查询”,成功登录，进入市场营销,"1.下拉框“区域”选择【西安】
2.下拉框“状态”选择【再投递】
3.开始时间为空
4.结束时间为空
5.点击“查询”
","1.下拉框“区域”选择成功
2.下拉框“状态”选择成功
3.开始时间为空
4.结束时间为空
5.显示内容列表，包括（
姓名、区域、来源、状态、电话号码、qq号码年龄、咨询师、入库时间）
",,,2,功能测试,系统测试阶段,正常,0,0,1,,,2019/11/26,,,1,
2090,WoniuBossERP(#1),/市场营销(#3),查询功能,选择区域、状态，开始时间、结束时间为空，点击“查询”,成功登录，进入市场营销,"1.下拉框“区域”选择【西安】
2.下拉框“状态”选择【已报名】
3.开始时间为空
4.结束时间为空
5.点击“查询”
","1.下拉框“区域”选择成功
2.下拉框“状态”选择成功
3.开始时间为空
4.结束时间为空
5.显示内容列表，包括（
姓名、区域、来源、状态、电话号码、qq号码年龄、咨询师、入库时间）
",,,2,功能测试,系统测试阶段,正常,0,0,1,,,2019/11/26,,,1,
2091,WoniuBossERP(#1),/市场营销(#3),查询功能,选择区域、状态，开始时间、结束时间为空，点击“查询”,成功登录，进入市场营销,"1.下拉框“区域”选择【西安】
2.下拉框“状态”选择【可跟进】
3.开始时间为空
4.结束时间为空
5.点击“查询”
","1.下拉框“区域”选择成功
2.下拉框“状态”选择成功
3.开始时间为空
4.结束时间为空
5.显示内容列表，包括（
姓名、区域、来源、状态、电话号码、qq号码年龄、咨询师、入库时间）
",,,2,功能测试,系统测试阶段,正常,0,0,1,,,2019/11/26,,,1,
2092,WoniuBossERP(#1),/市场营销(#3),查询功能,选择区域、状态，开始时间、结束时间为空，点击“查询”,成功登录，进入市场营销,"1.下拉框“区域”选择【西安】
2.下拉框“状态”选择【无意向】
3.开始时间为空
4.结束时间为空
5.点击“查询”
","1.下拉框“区域”选择成功
2.下拉框“状态”选择成功
3.开始时间为空
4.结束时间为空
5.显示内容列表，包括（
姓名、区域、来源、状态、电话号码、qq号码年龄、咨询师、入库时间）
",,,2,功能测试,系统测试阶段,正常,0,0,1,,,2019/11/26,,,1,
2093,WoniuBossERP(#1),/市场营销(#3),查询功能,选择区域、状态，开始时间、结束时间为空，点击“查询”,成功登录，进入市场营销,"1.下拉框“区域”选择【西安】
2.下拉框“状态”选择【未联系上】
3.开始时间为空
4.结束时间为空
5.点击“查询”
","1.下拉框“区域”选择成功
2.下拉框“状态”选择成功
3.开始时间为空
4.结束时间为空
5.显示内容列表，包括（
姓名、区域、来源、状态、电话号码、qq号码年龄、咨询师、入库时间）
",,,2,功能测试,系统测试阶段,正常,0,0,1,,,2019/11/26,,,1,
2094,WoniuBossERP(#1),/市场营销(#3),查询功能,选择区域、状态，开始时间、结束时间为空，点击“查询”,成功登录，进入市场营销,"1.下拉框“区域”选择【西安】
2.下拉框“状态”选择【培训过】
3.开始时间为空
4.结束时间为空
5.点击“查询”
","1.下拉框“区域”选择成功
2.下拉框“状态”选择成功
3.开始时间为空
4.结束时间为空
5.显示内容列表，包括（
姓名、区域、来源、状态、电话号码、qq号码年龄、咨询师、入库时间）
",,,2,功能测试,系统测试阶段,正常,0,0,1,,,2019/11/26,,,1,
2095,WoniuBossERP(#1),/市场营销(#3),查询功能,选择区域、状态，开始时间、结束时间为空，点击“查询”,成功登录，进入市场营销,"1.下拉框“区域”选择【西安】
2.下拉框“状态”选择【条件不符】
3.开始时间为空
4.结束时间为空
5.点击“查询”
","1.下拉框“区域”选择成功
2.下拉框“状态”选择成功
3.开始时间为空
4.结束时间为空
5.显示内容列表，包括（
姓名、区域、来源、状态、电话号码、qq号码年龄、咨询师、入库时间）
",,,2,功能测试,系统测试阶段,正常,0,0,1,,,2019/11/26,,,1,
2096,WoniuBossERP(#1),/市场营销(#3),查询功能,选择区域、状态，输入正确开始时间，结束时间为空，点击“查询”,成功登录，进入市场营销,"1.下拉框“区域”选择【全部】
2.下拉框“状态”选择【全部】
3.输入开始时间【2019-11-1】
4.结束时间为空
5.点击“查询”
","1.下拉框“区域”选择成功
2.下拉框“状态”选择成功
3.开始时间成功输入
4.结束时间为空
5.显示内容列表，包括（
姓名、区域、来源、状态、电话号码、qq号码年龄、咨询师、入库时间）
",,,2,功能测试,系统测试阶段,正常,0,0,1,,,2019/11/26,,,1,
2097,WoniuBossERP(#1),/市场营销(#3),查询功能,选择区域、状态、输入错误开始时间，结束时间为空，点击“查询”,成功登录，进入市场营销,"1.下拉框“区域”选择【全部】
2.下拉框“状态”选择【全部】
3.输入开始时间【2019-13-01】
4.结束时间为空
5.点击“查询”
","1.下拉框“区域”选择成功
2.下拉框“状态”选择成功
3.开始时间成功输入
4.结束时间为空
5.显示内容列表为空",,,2,功能测试,系统测试阶段,正常,0,0,1,,,2019/11/26,,,1,
2098,WoniuBossERP(#1),/市场营销(#3),查询功能,选择区域、状态、输入大于当前时间的开始时间，结束时间为空，点击“查询”,成功登录，进入市场营销,"1.下拉框“区域”选择【全部】
2.下拉框“状态”选择【全部】
3.输入开始时间【3000-01-01】
4.结束时间为空
5.点击“查询”
","1.下拉框“区域”选择成功
2.下拉框“状态”选择成功
3.开始时间成功输入
4.结束时间为空
5.显示内容列表为空",,,2,功能测试,系统测试阶段,正常,0,0,1,,,2019/11/26,,,1,
2099,WoniuBossERP(#1),/市场营销(#3),查询功能,选择区域、状态、当前时间为空，输入正确结束时间，点击“查询”,成功登录，进入市场营销,"1.下拉框“区域”选择【全部】
2.下拉框“状态”选择【全部】
3.开始时间为空
4.输入结束时间【2019-11-27】
5.点击“查询”
","1.下拉框“区域”选择成功
2.下拉框“状态”选择成功
3.开始时间为空
4.结束时间成功输入
5.显示内容列表，包括（
姓名、区域、来源、状态、电话号码、qq号码年龄、咨询师、入库时间）",,,2,功能测试,系统测试阶段,正常,0,0,1,,,2019/11/26,,,1,
2100,WoniuBossERP(#1),/市场营销(#3),查询功能,选择区域、状态、当前时间为空，输入错误结束时间，点击“查询”,成功登录，进入市场营销,"1.下拉框“区域”选择【全部】
2.下拉框“状态”选择【全部】
3.开始时间为空
4.输入结束时间【1000-15-34】
5.点击“查询”
","1.下拉框“区域”选择成功
2.下拉框“状态”选择成功
3.开始时间为空
4.结束时间成功输入
5.显示内容列表为空",,,2,功能测试,系统测试阶段,正常,0,0,1,,,2019/11/26,,,1,
2101,WoniuBossERP(#1),/市场营销(#3),查询功能,选择区域、状态、当前时间为空，输入大于当前时间的结束时间，点击“查询”,成功登录，进入市场营销,"1.下拉框“区域”选择【全部】
2.下拉框“状态”选择【全部】
3.开始时间为空
4.输入结束时间【2020-10-12】
5.点击“查询”
","1.下拉框“区域”选择成功
2.下拉框“状态”选择成功
3.开始时间为空
4.结束时间成功输入
5.显示内容列表，包括（
姓名、区域、来源、状态、电话号码、qq号码年龄、咨询师、入库时间）",,,2,功能测试,系统测试阶段,正常,0,0,1,,,2019/11/26,,,1,
2102,WoniuBossERP(#1),/市场营销(#3),上传专属功能检查,正确选择区域、部门，上传格式正确的文件，上传功能检查,成功登录，进入市场营销,"1.点击“上传专属”
2.下拉框“区域”选择【全部】
3.下拉框“部门”选择【全部】
4.点击“选择文件”，上传文件
5.点击“提交”
","1.系统弹出上传专属信息框
2.“区域”选择成功
3.“部门”选择成功
4.文件上传成功
5.系统提示“请选择上传部门”
",,,2,功能测试,系统测试阶段,正常,0,0,1,,,2019/11/26,,,1,
2103,WoniuBossERP(#1),/市场营销(#3),上传专属功能检查,正确选择区域、部门，上传格式正确的文件，上传功能检查,成功登录，进入市场营销,"1.点击“上传专属”
2.下拉框“区域”选择【成都】
3.下拉框“部门”选择【管理部】
4.点击“选择文件”，上传文件
5.点击“提交”
6.点击“确定”
","1.系统弹出上传专属信息框
2.“区域”选择成功
3.“部门”选择成功
4.文件上传成功
5.系统提示上传的详细信息，及是否确定
6.信息上传成功
",,,2,功能测试,系统测试阶段,正常,0,0,1,,,2019/11/26,,,1,
2104,WoniuBossERP(#1),/市场营销(#3),上传专属功能检查,正确选择区域、部门，上传格式正确的文件，上传功能检查,成功登录，进入市场营销,"1.点击“上传专属”
2.下拉框“区域”选择【成都】
3.下拉框“部门”选择【就业部】
4.点击“选择文件”，上传文件
5.点击“提交”
6.点击“确定”
","1.系统弹出上传专属信息框
2.“区域”选择成功
3.“部门”选择成功
4.文件上传成功
5.系统提示上传的详细信息，及是否确定
6.信息上传成功
",,,2,功能测试,系统测试阶段,正常,0,0,1,,,2019/11/26,,,1,
2105,WoniuBossERP(#1),/市场营销(#3),上传专属功能检查,正确选择区域、部门，上传格式正确的文件，上传功能检查,成功登录，进入市场营销,"1.点击“上传专属”
2.下拉框“区域”选择【成都】
3.下拉框“部门”选择【咨询部】
4.点击“选择文件”，上传文件
5.点击“提交”
6.点击“确定”
","1.系统弹出上传专属信息框
2.“区域”选择成功
3.“部门”选择成功
4.文件上传成功
5.系统提示上传的详细信息，及是否确定
6.信息上传成功
",,,2,功能测试,系统测试阶段,正常,0,0,1,,,2019/11/26,,,1,
2106,WoniuBossERP(#1),/市场营销(#3),上传专属功能检查,正确选择区域、部门，上传格式正确的文件，上传功能检查,成功登录，进入市场营销,"1.点击“上传专属”
2.下拉框“区域”选择【成都】
3.下拉框“部门”选择【电销部】
4.点击“选择文件”，上传文件
5.点击“提交”
6.点击“确定”
","1.系统弹出上传专属信息框
2.“区域”选择成功
3.“部门”选择成功
4.文件上传成功
5.系统提示上传的详细信息，及是否确定
6.信息上传成功
",,,2,功能测试,系统测试阶段,正常,0,0,1,,,2019/11/26,,,1,
2107,WoniuBossERP(#1),/市场营销(#3),上传专属功能检查,正确选择区域、部门，上传格式正确的文件，上传功能检查,成功登录，进入市场营销,"1.点击“上传专属”
2.下拉框“区域”选择【成都】
3.下拉框“部门”选择【渠道部】
4.点击“选择文件”，上传文件
5.点击“提交”
6.点击“确定”
","1.系统弹出上传专属信息框
2.“区域”选择成功
3.“部门”选择成功
4.文件上传成功
5.系统提示上传的详细信息，及是否确定
6.信息上传成功
",,,2,功能测试,系统测试阶段,正常,0,0,1,,,2019/11/26,,,1,
2108,WoniuBossERP(#1),/市场营销(#3),上传专属功能检查,正确选择区域、部门，上传格式正确的文件，上传功能检查,成功登录，进入市场营销,"1.点击“上传专属”
2.下拉框“区域”选择【成都】
3.下拉框“部门”选择【市场部】
4.点击“选择文件”，上传文件
5.点击“提交”
6.点击“确定”
","1.系统弹出上传专属信息框
2.“区域”选择成功
3.“部门”选择成功
4.文件上传成功
5.系统提示上传的详细信息，及是否确定
6.信息上传成功
",,,2,功能测试,系统测试阶段,正常,0,0,1,,,2019/11/26,,,1,
2109,WoniuBossERP(#1),/市场营销(#3),上传专属功能检查,正确选择区域、部门，上传格式正确的文件，上传功能检查,成功登录，进入市场营销,"1.点击“上传专属”
2.下拉框“区域”选择【成都】
3.下拉框“部门”选择【教学部】
4.点击“选择文件”，上传文件
5.点击“提交”
6.点击“确定”
","1.系统弹出上传专属信息框
2.“区域”选择成功
3.“部门”选择成功
4.文件上传成功
5.系统提示上传的详细信息，及是否确定
6.信息上传成功
",,,2,功能测试,系统测试阶段,正常,0,0,1,,,2019/11/26,,,1,
2110,WoniuBossERP(#1),/市场营销(#3),上传专属功能检查,正确选择区域、部门，上传格式正确的文件，上传功能检查,成功登录，进入市场营销,"1.点击“上传专属”
2.下拉框“区域”选择【成都】
3.下拉框“部门”选择【研发部】
4.点击“选择文件”，上传文件
5.点击“提交”
6.点击“确定”
","1.系统弹出上传专属信息框
2.“区域”选择成功
3.“部门”选择成功
4.文件上传成功
5.系统提示上传的详细信息，及是否确定
6.信息上传成功
",,,2,功能测试,系统测试阶段,正常,0,0,1,,,2019/11/26,,,1,
2111,WoniuBossERP(#1),/市场营销(#3),上传专属功能检查,正确选择区域、部门，上传格式正确的文件，上传功能检查,成功登录，进入市场营销,"1.点击“上传专属”
2.下拉框“区域”选择【成都】
3.下拉框“部门”选择【财务部】
4.点击“选择文件”，上传文件
5.点击“提交”
6.点击“确定”
","1.系统弹出上传专属信息框
2.“区域”选择成功
3.“部门”选择成功
4.文件上传成功
5.系统提示上传的详细信息，及是否确定
6.信息上传成功
",,,2,功能测试,系统测试阶段,正常,0,0,1,,,2019/11/26,,,1,
2112,WoniuBossERP(#1),/市场营销(#3),上传专属功能检查,正确选择区域、部门，上传格式正确的文件，上传功能检查,成功登录，进入市场营销,"1.点击“上传专属”
2.下拉框“区域”选择【重庆】
3.下拉框“部门”选择【管理部】
4.点击“选择文件”，上传文件
5.点击“提交”
6.点击“确定”
","1.系统弹出上传专属信息框
2.“区域”选择成功
3.“部门”选择成功
4.文件上传成功
5.系统提示上传的详细信息，及是否确定
6.信息上传成功
",,,2,功能测试,系统测试阶段,正常,0,0,1,,,2019/11/26,,,1,
2113,WoniuBossERP(#1),/市场营销(#3),上传专属功能检查,正确选择区域、部门，上传格式正确的文件，上传功能检查,成功登录，进入市场营销,"1.点击“上传专属”
2.下拉框“区域”选择【重庆】
3.下拉框“部门”选择【就业部】
4.点击“选择文件”，上传文件
5.点击“提交”
6.点击“确定”
","1.系统弹出上传专属信息框
2.“区域”选择成功
3.“部门”选择成功
4.文件上传成功
5.系统提示上传的详细信息，及是否确定
6.信息上传成功
",,,2,功能测试,系统测试阶段,正常,0,0,1,,,2019/11/26,,,1,
2114,WoniuBossERP(#1),/市场营销(#3),上传专属功能检查,正确选择区域、部门，上传格式正确的文件，上传功能检查,成功登录，进入市场营销,"1.点击“上传专属”
2.下拉框“区域”选择【重庆】
3.下拉框“部门”选择【咨询部】
4.点击“选择文件”，上传文件
5.点击“提交”
6.点击“确定”
","1.系统弹出上传专属信息框
2.“区域”选择成功
3.“部门”选择成功
4.文件上传成功
5.系统提示上传的详细信息，及是否确定
6.信息上传成功
",,,2,功能测试,系统测试阶段,正常,0,0,1,,,2019/11/26,,,1,
2115,WoniuBossERP(#1),/市场营销(#3),上传专属功能检查,正确选择区域、部门，上传格式正确的文件，上传功能检查,成功登录，进入市场营销,"1.点击“上传专属”
2.下拉框“区域”选择【重庆】
3.下拉框“部门”选择【渠道部】
4.点击“选择文件”，上传文件
5.点击“提交”
6.点击“确定”
","1.系统弹出上传专属信息框
2.“区域”选择成功
3.“部门”选择成功
4.文件上传成功
5.系统提示上传的详细信息，及是否确定
6.信息上传成功
",,,2,功能测试,系统测试阶段,正常,0,0,1,,,2019/11/26,,,1,
2116,WoniuBossERP(#1),/市场营销(#3),上传专属功能检查,正确选择区域、部门，上传格式正确的文件，上传功能检查,成功登录，进入市场营销,"1.点击“上传专属”
2.下拉框“区域”选择【重庆】
3.下拉框“部门”选择【市场部】
4.点击“选择文件”，上传文件
5.点击“提交”
6.点击“确定”
","1.系统弹出上传专属信息框
2.“区域”选择成功
3.“部门”选择成功
4.文件上传成功
5.系统提示上传的详细信息，及是否确定
6.信息上传成功
",,,2,功能测试,系统测试阶段,正常,0,0,1,,,2019/11/26,,,1,
